PLZ	City	State	County	address
14552	Tremsdorf	Brandenburg	Landkreis Potsdam-Mittelmark	14552, Tremsdorf, Landkreis Potsdam-Mittelmark, Brandenburg
14552	Wildenbruch	Brandenburg	Landkreis Potsdam-Mittelmark	14552, Wildenbruch, Landkreis Potsdam-Mittelmark, Brandenburg
14554	Seddiner See	Brandenburg	Landkreis Potsdam-Mittelmark	14554, Seddiner See, Landkreis Potsdam-Mittelmark, Brandenburg
14557	Wilhelmshorst	Brandenburg	Landkreis Potsdam-Mittelmark	14557, Wilhelmshorst, Landkreis Potsdam-Mittelmark, Brandenburg
14557	Langerwisch	Brandenburg	Landkreis Potsdam-Mittelmark	14557, Langerwisch, Landkreis Potsdam-Mittelmark, Brandenburg
14558	Bergholz-Rehbrücke	Brandenburg	Landkreis Potsdam-Mittelmark	14558, Bergholz-Rehbrücke, Landkreis Potsdam-Mittelmark, Brandenburg
14612	Falkensee	Brandenburg	Landkreis Havelland	14612, Falkensee, Landkreis Havelland, Brandenburg
14621	Schönwalde	Brandenburg	Landkreis Havelland	14621, Schönwalde, Landkreis Havelland, Brandenburg
14624	Dallgow-Döberitz	Brandenburg	Landkreis Havelland	14624, Dallgow-Döberitz, Landkreis Havelland, Brandenburg
14627	Elstal	Brandenburg	Landkreis Havelland	14627, Elstal, Landkreis Havelland, Brandenburg
14641	Falkenrehde	Brandenburg	Landkreis Havelland	14641, Falkenrehde, Landkreis Havelland, Brandenburg
14641	Berge	Brandenburg	Landkreis Havelland	14641, Berge, Landkreis Havelland, Brandenburg
14641	Ribbeck	Brandenburg	Landkreis Havelland	14641, Ribbeck, Landkreis Havelland, Brandenburg
14641	Nauen	Brandenburg	Landkreis Havelland	14641, Nauen, Landkreis Havelland, Brandenburg
14641	Klein Behnitz	Brandenburg	Landkreis Havelland	14641, Klein Behnitz, Landkreis Havelland, Brandenburg
14641	Bredow	Brandenburg	Landkreis Havelland	14641, Bredow, Landkreis Havelland, Brandenburg
14641	Wachow	Brandenburg	Landkreis Havelland	14641, Wachow, Landkreis Havelland, Brandenburg
14641	Wansdorf	Brandenburg	Landkreis Havelland	14641, Wansdorf, Landkreis Havelland, Brandenburg
14641	Groß Behnitz	Brandenburg	Landkreis Havelland	14641, Groß Behnitz, Landkreis Havelland, Brandenburg
14641	Etzin	Brandenburg	Landkreis Havelland	14641, Etzin, Landkreis Havelland, Brandenburg
14641	Paaren im Glien	Brandenburg	Landkreis Havelland	14641, Paaren im Glien, Landkreis Havelland, Brandenburg
14641	Grünefeld	Brandenburg	Landkreis Havelland	14641, Grünefeld, Landkreis Havelland, Brandenburg
14641	Selbelang	Brandenburg	Landkreis Havelland	14641, Selbelang, Landkreis Havelland, Brandenburg
14641	Bergerdamm	Brandenburg	Landkreis Havelland	14641, Bergerdamm, Landkreis Havelland, Brandenburg
14641	Zeestow	Brandenburg	Landkreis Havelland	14641, Zeestow, Landkreis Havelland, Brandenburg
14641	Tietzow	Brandenburg	Landkreis Havelland	14641, Tietzow, Landkreis Havelland, Brandenburg
14641	Retzow	Brandenburg	Landkreis Havelland	14641, Retzow, Landkreis Havelland, Brandenburg
14641	Lietzow	Brandenburg	Landkreis Havelland	14641, Lietzow, Landkreis Havelland, Brandenburg
14641	Markee	Brandenburg	Landkreis Havelland	14641, Markee, Landkreis Havelland, Brandenburg
14641	Kienberg	Brandenburg	Landkreis Havelland	14641, Kienberg, Landkreis Havelland, Brandenburg
14641	Tremmen	Brandenburg	Landkreis Havelland	14641, Tremmen, Landkreis Havelland, Brandenburg
14641	Pessin	Brandenburg	Landkreis Havelland	14641, Pessin, Landkreis Havelland, Brandenburg
14641	Mühlenberge	Brandenburg	Landkreis Havelland	14641, Mühlenberge, Landkreis Havelland, Brandenburg
14641	Pausin	Brandenburg	Landkreis Havelland	14641, Pausin, Landkreis Havelland, Brandenburg
14641	Wustermark	Brandenburg	Landkreis Havelland	14641, Wustermark, Landkreis Havelland, Brandenburg
14641	Paulinenaue	Brandenburg	Landkreis Havelland	14641, Paulinenaue, Landkreis Havelland, Brandenburg
14641	Perwenitz	Brandenburg	Landkreis Havelland	14641, Perwenitz, Landkreis Havelland, Brandenburg
14641	Börnicke	Brandenburg	Landkreis Havelland	14641, Börnicke, Landkreis Havelland, Brandenburg
14641	Brädikow	Brandenburg	Landkreis Havelland	14641, Brädikow, Landkreis Havelland, Brandenburg
14656	Brieselang	Brandenburg	Landkreis Havelland	14656, Brieselang, Landkreis Havelland, Brandenburg
14662	Warsow	Brandenburg	Landkreis Havelland	14662, Warsow, Landkreis Havelland, Brandenburg
14662	Vietznitz	Brandenburg	Landkreis Havelland	14662, Vietznitz, Landkreis Havelland, Brandenburg
14662	Friesack	Brandenburg	Landkreis Havelland	14662, Friesack, Landkreis Havelland, Brandenburg
14662	Mühlenberge	Brandenburg	Landkreis Havelland	14662, Mühlenberge, Landkreis Havelland, Brandenburg
14669	Ketzin	Brandenburg	Landkreis Havelland	14669, Ketzin, Landkreis Havelland, Brandenburg
14669	Zachow	Brandenburg	Landkreis Havelland	14669, Zachow, Landkreis Havelland, Brandenburg
14712	Rathenow	Brandenburg	Landkreis Havelland	14712, Rathenow, Landkreis Havelland, Brandenburg
14715	Havelaue	Brandenburg	Landkreis Havelland	14715, Havelaue, Landkreis Havelland, Brandenburg
14715	Märkisch Luch Möthlow	Brandenburg	Landkreis Havelland	14715, Märkisch Luch Möthlow, Landkreis Havelland, Brandenburg
14715	Märkisch Luch Buschow	Brandenburg	Landkreis Havelland	14715, Märkisch Luch Buschow, Landkreis Havelland, Brandenburg
14715	Märkisch Luch Barnewitz	Brandenburg	Landkreis Havelland	14715, Märkisch Luch Barnewitz, Landkreis Havelland, Brandenburg
14715	Seeblick	Brandenburg	Landkreis Havelland	14715, Seeblick, Landkreis Havelland, Brandenburg
14715	Milow	Brandenburg	Landkreis Havelland	14715, Milow, Landkreis Havelland, Brandenburg
14715	Kriele	Brandenburg	Landkreis Havelland	14715, Kriele, Landkreis Havelland, Brandenburg
14715	Zollchow	Brandenburg	Landkreis Havelland	14715, Zollchow, Landkreis Havelland, Brandenburg
14715	Stechow-Ferchesar	Brandenburg	Landkreis Havelland	14715, Stechow-Ferchesar, Landkreis Havelland, Brandenburg
14715	Gräningen	Brandenburg	Landkreis Havelland	14715, Gräningen, Landkreis Havelland, Brandenburg
14715	Bützer	Brandenburg	Landkreis Havelland	14715, Bützer, Landkreis Havelland, Brandenburg
14715	Nitzahn	Brandenburg	Landkreis Havelland	14715, Nitzahn, Landkreis Havelland, Brandenburg
14715	Nennhausen	Brandenburg	Landkreis Havelland	14715, Nennhausen, Landkreis Havelland, Brandenburg
14715	Kotzen	Brandenburg	Landkreis Havelland	14715, Kotzen, Landkreis Havelland, Brandenburg
14715	Landin	Brandenburg	Landkreis Havelland	14715, Landin, Landkreis Havelland, Brandenburg
14715	Bamme	Brandenburg	Landkreis Havelland	14715, Bamme, Landkreis Havelland, Brandenburg
14715	Jerchel	Brandenburg	Landkreis Havelland	14715, Jerchel, Landkreis Havelland, Brandenburg
14715	Märkisch Luch Garlitz	Brandenburg	Landkreis Havelland	14715, Märkisch Luch Garlitz, Landkreis Havelland, Brandenburg
14715	Möthlitz	Brandenburg	Landkreis Havelland	14715, Möthlitz, Landkreis Havelland, Brandenburg
14715	Liepe	Brandenburg	Landkreis Havelland	14715, Liepe, Landkreis Havelland, Brandenburg
14715	Vieritz	Brandenburg	Landkreis Havelland	14715, Vieritz, Landkreis Havelland, Brandenburg
14715	Mützlitz	Brandenburg	Landkreis Havelland	14715, Mützlitz, Landkreis Havelland, Brandenburg
14715	Großwudicke	Brandenburg	Landkreis Havelland	14715, Großwudicke, Landkreis Havelland, Brandenburg
14715	Märkisch Luch	Brandenburg	Landkreis Havelland	14715, Märkisch Luch, Landkreis Havelland, Brandenburg
14727	Premnitz	Brandenburg	Landkreis Havelland	14727, Premnitz, Landkreis Havelland, Brandenburg
14727	Döberitz	Brandenburg	Landkreis Havelland	14727, Döberitz, Landkreis Havelland, Brandenburg
14728	Havelaue	Brandenburg	Landkreis Havelland	14728, Havelaue, Landkreis Havelland, Brandenburg
14728	Rhinow	Brandenburg	Landkreis Havelland	14728, Rhinow, Landkreis Havelland, Brandenburg
14728	Gollenberg	Brandenburg	Landkreis Havelland	14728, Gollenberg, Landkreis Havelland, Brandenburg
14728	Kleßen-Görne	Brandenburg	Landkreis Havelland	14728, Kleßen-Görne, Landkreis Havelland, Brandenburg
14770	Brandenburg an der Havel	Brandenburg	Kreisfreie Stadt Brandenburg an der Havel	14770, Brandenburg an der Havel, Kreisfreie Stadt Brandenburg an der Havel, Brandenburg
14772	Brandenburg an der Havel	Brandenburg	Kreisfreie Stadt Brandenburg an der Havel	14772, Brandenburg an der Havel, Kreisfreie Stadt Brandenburg an der Havel, Brandenburg
14774	Brandenburg an der Havel	Brandenburg	Kreisfreie Stadt Brandenburg an der Havel	14774, Brandenburg an der Havel, Kreisfreie Stadt Brandenburg an der Havel, Brandenburg
14776	Brandenburg an der Havel	Brandenburg	Kreisfreie Stadt Brandenburg an der Havel	14776, Brandenburg an der Havel, Kreisfreie Stadt Brandenburg an der Havel, Brandenburg
14778	Wust	Brandenburg	Kreisfreie Stadt Brandenburg an der Havel	14778, Wust, Kreisfreie Stadt Brandenburg an der Havel, Brandenburg
14778	Wollin	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Wollin, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Beetzsee	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Beetzsee, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Golzow	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Golzow, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Planetal	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Planetal, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Päwesin	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Päwesin, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Trechwitz	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Trechwitz, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Wenzlow	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Wenzlow, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Planebruch	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Planebruch, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Roskow	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Roskow, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Kloster Lehnin	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Kloster Lehnin, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Gollwitz	Brandenburg	Kreisfreie Stadt Brandenburg an der Havel	14778, Gollwitz, Kreisfreie Stadt Brandenburg an der Havel, Brandenburg
14778	Beetzseeheide	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Beetzseeheide, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Götz	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Götz, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Havelsee	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Havelsee, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Schenkenberg	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Schenkenberg, Landkreis Potsdam-Mittelmark, Brandenburg
14778	Jeserig	Brandenburg	Landkreis Potsdam-Mittelmark	14778, Jeserig, Landkreis Potsdam-Mittelmark, Brandenburg
14789	Wusterwitz	Brandenburg	Landkreis Potsdam-Mittelmark	14789, Wusterwitz, Landkreis Potsdam-Mittelmark, Brandenburg
14789	Rosenau	Brandenburg	Landkreis Potsdam-Mittelmark	14789, Rosenau, Landkreis Potsdam-Mittelmark, Brandenburg
14789	Bensdorf	Brandenburg	Landkreis Potsdam-Mittelmark	14789, Bensdorf, Landkreis Potsdam-Mittelmark, Brandenburg
14793	Rottstock	Brandenburg	Landkreis Potsdam-Mittelmark	14793, Rottstock, Landkreis Potsdam-Mittelmark, Brandenburg
14793	Buckautal	Brandenburg	Landkreis Potsdam-Mittelmark	14793, Buckautal, Landkreis Potsdam-Mittelmark, Brandenburg
14793	Gräben	Brandenburg	Landkreis Potsdam-Mittelmark	14793, Gräben, Landkreis Potsdam-Mittelmark, Brandenburg
14793	Ziesar	Brandenburg	Landkreis Potsdam-Mittelmark	14793, Ziesar, Landkreis Potsdam-Mittelmark, Brandenburg
14797	Kloster Lehnin	Brandenburg	Landkreis Potsdam-Mittelmark	14797, Kloster Lehnin, Landkreis Potsdam-Mittelmark, Brandenburg
14798	Havelsee	Brandenburg	Landkreis Potsdam-Mittelmark	14798, Havelsee, Landkreis Potsdam-Mittelmark, Brandenburg
14806	Belzig	Brandenburg	Landkreis Potsdam-Mittelmark	14806, Belzig, Landkreis Potsdam-Mittelmark, Brandenburg
14806	Planetal	Brandenburg	Landkreis Potsdam-Mittelmark	14806, Planetal, Landkreis Potsdam-Mittelmark, Brandenburg
14806	Schwanebeck	Brandenburg	Landkreis Potsdam-Mittelmark	14806, Schwanebeck, Landkreis Potsdam-Mittelmark, Brandenburg
14806	Hagelberg	Brandenburg	Landkreis Potsdam-Mittelmark	14806, Hagelberg, Landkreis Potsdam-Mittelmark, Brandenburg
14822	Mühlenfließ	Brandenburg	Landkreis Potsdam-Mittelmark	14822, Mühlenfließ, Landkreis Potsdam-Mittelmark, Brandenburg
14822	Borkheide	Brandenburg	Landkreis Potsdam-Mittelmark	14822, Borkheide, Landkreis Potsdam-Mittelmark, Brandenburg
14822	Planebruch	Brandenburg	Landkreis Potsdam-Mittelmark	14822, Planebruch, Landkreis Potsdam-Mittelmark, Brandenburg
14822	Borkwalde	Brandenburg	Landkreis Potsdam-Mittelmark	14822, Borkwalde, Landkreis Potsdam-Mittelmark, Brandenburg
14822	Linthe	Brandenburg	Landkreis Potsdam-Mittelmark	14822, Linthe, Landkreis Potsdam-Mittelmark, Brandenburg
14822	Brück	Brandenburg	Landkreis Potsdam-Mittelmark	14822, Brück, Landkreis Potsdam-Mittelmark, Brandenburg
14823	Niemegk	Brandenburg	Landkreis Potsdam-Mittelmark	14823, Niemegk, Landkreis Potsdam-Mittelmark, Brandenburg
14823	Mühlenfließ	Brandenburg	Landkreis Potsdam-Mittelmark	14823, Mühlenfließ, Landkreis Potsdam-Mittelmark, Brandenburg
14823	Rabenstein/Fläming	Brandenburg	Landkreis Potsdam-Mittelmark	14823, Rabenstein/Fläming, Landkreis Potsdam-Mittelmark, Brandenburg
14827	Wiesenburg	Brandenburg	Landkreis Potsdam-Mittelmark	14827, Wiesenburg, Landkreis Potsdam-Mittelmark, Brandenburg
14828	Görzke	Brandenburg	Landkreis Potsdam-Mittelmark	14828, Görzke, Landkreis Potsdam-Mittelmark, Brandenburg
14913	Niebendorf-Heinsdorf	Brandenburg	Landkreis Teltow-Fläming	14913, Niebendorf-Heinsdorf, Landkreis Teltow-Fläming, Brandenburg
14913	Ihlow	Brandenburg	Landkreis Teltow-Fläming	14913, Ihlow, Landkreis Teltow-Fläming, Brandenburg
14913	Nuthe-Urstromtal	Brandenburg	Landkreis Teltow-Fläming	14913, Nuthe-Urstromtal, Landkreis Teltow-Fläming, Brandenburg
14913	Hohenseefeld	Brandenburg	Landkreis Teltow-Fläming	14913, Hohenseefeld, Landkreis Teltow-Fläming, Brandenburg
14913	Niederer Fläming	Brandenburg	Landkreis Teltow-Fläming	14913, Niederer Fläming, Landkreis Teltow-Fläming, Brandenburg
14913	Wahlsdorf	Brandenburg	Landkreis Teltow-Fläming	14913, Wahlsdorf, Landkreis Teltow-Fläming, Brandenburg
14913	Jüterbog	Brandenburg	Landkreis Teltow-Fläming	14913, Jüterbog, Landkreis Teltow-Fläming, Brandenburg
14913	Niedergörsdorf	Brandenburg	Landkreis Teltow-Fläming	14913, Niedergörsdorf, Landkreis Teltow-Fläming, Brandenburg
14913	Herbersdorf	Brandenburg	Landkreis Teltow-Fläming	14913, Herbersdorf, Landkreis Teltow-Fläming, Brandenburg
14929	Treuenbrietzen	Brandenburg	Landkreis Potsdam-Mittelmark	14929, Treuenbrietzen, Landkreis Potsdam-Mittelmark, Brandenburg
14943	Lühsdorf	Brandenburg	Landkreis Potsdam-Mittelmark	14943, Lühsdorf, Landkreis Potsdam-Mittelmark, Brandenburg
14943	Lüdersdorf	Brandenburg	Landkreis Teltow-Fläming	14943, Lüdersdorf, Landkreis Teltow-Fläming, Brandenburg
14943	Luckenwalde	Brandenburg	Landkreis Teltow-Fläming	14943, Luckenwalde, Landkreis Teltow-Fläming, Brandenburg
14947	Nuthe-Urstromtal	Brandenburg	Landkreis Teltow-Fläming	14947, Nuthe-Urstromtal, Landkreis Teltow-Fläming, Brandenburg
14959	Trebbin	Brandenburg	Landkreis Teltow-Fläming	14959, Trebbin, Landkreis Teltow-Fläming, Brandenburg
14959	Schönhagen	Brandenburg	Landkreis Teltow-Fläming	14959, Schönhagen, Landkreis Teltow-Fläming, Brandenburg
14974	Thyrow	Brandenburg	Landkreis Teltow-Fläming	14974, Thyrow, Landkreis Teltow-Fläming, Brandenburg
14974	Ludwigsfelde	Brandenburg	Landkreis Teltow-Fläming	14974, Ludwigsfelde, Landkreis Teltow-Fläming, Brandenburg
14979	Großbeeren	Brandenburg	Landkreis Teltow-Fläming	14979, Großbeeren, Landkreis Teltow-Fläming, Brandenburg
15230	Frankfurt (Oder)	Brandenburg	Frankfurt (Oder)	15230, Frankfurt (Oder), Frankfurt (Oder), Brandenburg
15232	Frankfurt (Oder)	Brandenburg	Frankfurt (Oder)	15232, Frankfurt (Oder), Frankfurt (Oder), Brandenburg
15234	Frankfurt (Oder)	Brandenburg	Frankfurt (Oder)	15234, Frankfurt (Oder), Frankfurt (Oder), Brandenburg
15236	Treplin	Brandenburg	Landkreis Märkisch-Oderland	15236, Treplin, Landkreis Märkisch-Oderland, Brandenburg
15236	Jacobsdorf Pillgram	Brandenburg	Landkreis Oder-Spree	15236, Jacobsdorf Pillgram, Landkreis Oder-Spree, Brandenburg
15236	Jacobsdorf Jacobsdorf	Brandenburg	Landkreis Oder-Spree	15236, Jacobsdorf Jacobsdorf, Landkreis Oder-Spree, Brandenburg
15236	Jacobsdorf Sieversdorf	Brandenburg	Landkreis Oder-Spree	15236, Jacobsdorf Sieversdorf, Landkreis Oder-Spree, Brandenburg
15236	Jacobsdorf Petersdorf bei Briesen	Brandenburg	Landkreis Oder-Spree	15236, Jacobsdorf Petersdorf bei Briesen, Landkreis Oder-Spree, Brandenburg
15236	Jacobsdorf	Brandenburg	Landkreis Oder-Spree	15236, Jacobsdorf, Landkreis Oder-Spree, Brandenburg
15236	Frankfurt (Oder)	Brandenburg	Frankfurt (Oder)	15236, Frankfurt (Oder), Frankfurt (Oder), Brandenburg
15295	Wiesenau	Brandenburg	Landkreis Oder-Spree	15295, Wiesenau, Landkreis Oder-Spree, Brandenburg
15295	Groß Lindow Schlaubehammer	Brandenburg	Landkreis Oder-Spree	15295, Groß Lindow Schlaubehammer, Landkreis Oder-Spree, Brandenburg
15295	Ziltendorf	Brandenburg	Landkreis Oder-Spree	15295, Ziltendorf, Landkreis Oder-Spree, Brandenburg
15295	Groß Lindow	Brandenburg	Landkreis Oder-Spree	15295, Groß Lindow, Landkreis Oder-Spree, Brandenburg
15295	Ziltendorf Ernst-Thälmann-Siedlung	Brandenburg	Landkreis Oder-Spree	15295, Ziltendorf Ernst-Thälmann-Siedlung, Landkreis Oder-Spree, Brandenburg
15295	Brieskow-Finkenheerd	Brandenburg	Landkreis Oder-Spree	15295, Brieskow-Finkenheerd, Landkreis Oder-Spree, Brandenburg
15295	Groß Lindow Weißenspring	Brandenburg	Landkreis Oder-Spree	15295, Groß Lindow Weißenspring, Landkreis Oder-Spree, Brandenburg
15295	Ziltendorf Aurith	Brandenburg	Landkreis Oder-Spree	15295, Ziltendorf Aurith, Landkreis Oder-Spree, Brandenburg
15299	Grunow-Dammendorf Grunow	Brandenburg	Landkreis Oder-Spree	15299, Grunow-Dammendorf Grunow, Landkreis Oder-Spree, Brandenburg
15299	Grunow-Dammendorf	Brandenburg	Landkreis Oder-Spree	15299, Grunow-Dammendorf, Landkreis Oder-Spree, Brandenburg
15299	Dammendorf	Brandenburg	Landkreis Oder-Spree	15299, Dammendorf, Landkreis Oder-Spree, Brandenburg
15299	Müllrose	Brandenburg	Landkreis Oder-Spree	15299, Müllrose, Landkreis Oder-Spree, Brandenburg
15299	Mixdorf	Brandenburg	Landkreis Oder-Spree	15299, Mixdorf, Landkreis Oder-Spree, Brandenburg
15306	Vierlinden	Brandenburg	Landkreis Märkisch-Oderland	15306, Vierlinden, Landkreis Märkisch-Oderland, Brandenburg
15306	Vierlinden Worin	Brandenburg	Landkreis Märkisch-Oderland	15306, Vierlinden Worin, Landkreis Märkisch-Oderland, Brandenburg
15306	Vierlinden Neuentempel	Brandenburg	Landkreis Märkisch-Oderland	15306, Vierlinden Neuentempel, Landkreis Märkisch-Oderland, Brandenburg
15306	Vierlinden Görlsdorf	Brandenburg	Landkreis Märkisch-Oderland	15306, Vierlinden Görlsdorf, Landkreis Märkisch-Oderland, Brandenburg
15306	Vierlinden Marxdorf	Brandenburg	Landkreis Märkisch-Oderland	15306, Vierlinden Marxdorf, Landkreis Märkisch-Oderland, Brandenburg
15306	Werbig	Brandenburg	Landkreis Märkisch-Oderland	15306, Werbig, Landkreis Märkisch-Oderland, Brandenburg
15306	Seelow	Brandenburg	Landkreis Märkisch-Oderland	15306, Seelow, Landkreis Märkisch-Oderland, Brandenburg
15306	Vierlinden Friedersdorf	Brandenburg	Landkreis Märkisch-Oderland	15306, Vierlinden Friedersdorf, Landkreis Märkisch-Oderland, Brandenburg
15306	Lindendorf Dolgelin	Brandenburg	Landkreis Märkisch-Oderland	15306, Lindendorf Dolgelin, Landkreis Märkisch-Oderland, Brandenburg
15306	Vierlinden Diedersdorf	Brandenburg	Landkreis Märkisch-Oderland	15306, Vierlinden Diedersdorf, Landkreis Märkisch-Oderland, Brandenburg
15306	Lietzen	Brandenburg	Landkreis Märkisch-Oderland	15306, Lietzen, Landkreis Märkisch-Oderland, Brandenburg
15306	Falkenhagen	Brandenburg	Landkreis Märkisch-Oderland	15306, Falkenhagen, Landkreis Märkisch-Oderland, Brandenburg
15306	Lindendorf	Brandenburg	Landkreis Märkisch-Oderland	15306, Lindendorf, Landkreis Märkisch-Oderland, Brandenburg
